% TEGDMA,v (mm/s),type,edge length (mm),sides,corner angle (°),phi (°),Prism,Edge ,Δpos (mm) relax close 2,ster Δpos (mm) relax close 2,Δstdev (mm) relax close 2,ster Δstdev (mm) relax close 2,Δstdev (normalized) relax close 2,ster Δstdev (normalized) relax close 2,Δpos (mm) relax close 3,ster Δpos (mm) relax close 3,Δstdev (mm) relax close 3,ster Δstdev (mm) relax close 3,Δstdev (normalized) relax close 3,ster Δstdev (normalized) relax close 3,Δpos (mm) relax far 3,ster Δpos (mm) relax far 3,Δstdev (mm) relax far 3,ster Δstdev (mm) relax far 3,Δstdev (normalized) relax far 3,ster Δstdev (normalized) relax far 3,Δpos (mm) shear close 2,ster Δpos (mm) shear close 2,Δstdev (mm) shear close 2,ster Δstdev (mm) shear close 2,Δstdev (normalized) shear close 2,ster Δstdev (normalized) shear close 2,Δpos (mm) shear close 3,ster Δpos (mm) shear close 3,Δstdev (mm) shear close 3,ster Δstdev (mm) shear close 3,Δstdev (normalized) shear close 3,ster Δstdev (normalized) shear close 3,Δpos (mm) shear far 3,ster Δpos (mm) shear far 3,Δstdev (mm) shear far 3,ster Δstdev (mm) shear far 3,Δstdev (normalized) shear far 3,ster Δstdev (normalized) shear far 3
20,12,2,6,5,108,198,1,1,0.010223,0.035028602669818276,0.010885999999999993,0.001361675339425665,0.12512,0.015649526822239707,-0.0568712,0.0331633398800543,0.0068090000000000095,0.0016773236300726226,0.07826999999999995,0.01927901846567921,-0.158124,0.026308233026944246,0.0006189999999999946,0.001342530763185708,0.00710999999999995,0.015428762361252442,0.052461,0.03786146634772616,-0.004377999999999993,0.0011667994847444868,-0.050329999999999986,0.013410323551652285,-0.055810799999999994,0.040362861395099335,-0.0038699999999999984,0.001956781707293892,-0.044499999999999984,0.022490298086063686,0.0587348,0.037052297486120885,-0.0012560000000000071,0.0019678856528009955,-0.014429999999999943,0.022616867002306047
20,12,2,6,5,108,126,1,2,0.1696148,0.0455405072545311,0.005809999999999996,0.0019553851992893884,0.06677999999999995,0.022475986545867126,0.035655099999999995,0.030348483256993256,-0.004308000000000006,0.0020893323814079943,-0.04952000000000001,0.024014083950881827,-0.069636,0.037158539745259095,0.0011039999999999939,0.0028522122571786276,0.012689999999999979,0.03278170373851853,-0.178392,0.04695809941852417,-0.004525000000000001,0.0014079377925178371,-0.052019999999999955,0.016183108824017713,-0.0611261,0.04252743232314879,0.0008070000000000022,0.0027523593242888907,0.00927,0.03163376455624591,0.01593,0.05427593219835105,-0.004164999999999988,0.0031431215200815894,-0.046969999999999956,0.036237465032753054
20,12,2,6,5,108,54,1,3,0.04184844,0.030638242932648736,-0.001453999999999997,0.0014134629574559072,-0.016720000000000068,0.016245274495680275,0.087171,0.028250289432145647,0.00027299999999999547,0.0012130699521874244,0.003130000000000077,0.013944608479265382,0.04741000000000001,0.029778485471897324,-0.008786000000000002,0.002058599594384493,-0.10101000000000004,0.023660379502662254,-0.13896944,0.03620062603049842,0.010838,0.0015038102140895306,0.12458000000000014,0.01728509155920211,0.092035,0.029105400083146084,0.000023999999999996247,0.0012625325090467967,0.00026999999999999247,0.014513093335329998,0.183972,0.02211338033499175,0.0013200000000000017,0.002075248425996271,0.015179999999999971,0.023850668793348333
20,12,2,6,5,108,342,1,4,0.168051,0.04947423880162281,0.011116000000000001,0.0021881335653931183,0.12777000000000005,0.02514940311418941,0.10911699999999999,0.04235628129333358,-0.0019790000000000085,0.0019133678710587779,-0.022750000000000048,0.021990083787925867,0.088945,0.035725867043362294,-0.0016170000000000073,0.001693113067695126,-0.01857999999999993,0.01946048008143684,-0.178626,0.05250273460497081,0.0036570000000000075,0.0017085217060371228,0.0420299999999999,0.019636684088715183,-0.101472,0.040870402249060384,0.004132000000000011,0.0018530253295894257,0.04749000000000003,0.021296709839785113,-0.087855,0.03877869153285087,-0.0007299999999999945,0.0015653148756719843,-0.008400000000000074,0.017991358286688637
20,12,2,6,5,108,270,1,5,-1.027571,0.021840511130465787,0.033172,0.0013768793668655218,0.3254,0.019537217852345305,0.344114,0.017164015451228188,0.030244000000000007,0.0029142303351142305,0.18452000000000002,0.05929205357381375,-0.51749,0.0171957385709367,0.030774000000000003,0.0014862043559349435,0.3537,0.017082037904184617,0.521711,0.022032725705186818,-0.032128,0.0014214097019860249,-0.36926000000000003,0.016336844046816387,0.050483,0.05055748507392352,-0.000022000000000008124,0.0016359062461217024,-0.000260000000000038,0.01880572053924018,0.20575,0.03523689272623226,-0.001690000000000011,0.0016865013007999728,-0.01648000000000005,0.017928348891071928
20,12,2,6,6,120,210,2,1,-0.062655,0.023626543175208684,0.0025059999999999943,0.0014394859777017628,0.028800000000000048,0.016545218342469827,-0.114971,0.024811703246653584,0.0033110000000000084,0.0017598750630655575,0.04616999999999993,0.014686359700415895,-0.22325,0.033933294697096536,-0.004458000000000004,0.0014705928982556662,-0.05123999999999995,0.01690016068681005,0.117365,0.03702219108858902,0.0023270000000000096,0.001193788319761925,0.02674999999999994,0.013719909192119312,0.190386,0.030388168240287207,-0.007580000000000003,0.0024964405640831907,-0.09523999999999999,0.025095410436970344,0.24616000000000002,0.027003559469077402,-0.002794000000000005,0.002336325259889984,0.012270000000000003,0.026523911721312906
20,12,2,6,6,120,150,2,2,0.14884,0.025027727743444868,0.004205,0.001759625271016531,0.04834000000000005,0.02022392723978209,-0.067362,0.036210402510880764,-0.005515999999999993,0.0020937410178911812,-0.06340000000000001,0.02406382440511067,-0.095741,0.04223639905342311,0.00016700000000000048,0.0015379519082533107,0.0019299999999999873,0.017676713297443053,-0.07051999999999999,0.040742127288594054,-0.0022059999999999996,0.001514191960882107,-0.02536000000000005,0.017403050824496263,0.036206999999999996,0.03801417590846867,-0.0017130000000000062,0.0021538606291958634,-0.01968000000000003,0.0247569691602183,0.080371,0.047511884176487884,-0.007455000000000003,0.0022064306905271234,-0.0857,0.025359890240298753
20,12,2,6,6,120,90,2,3,-0.0454254,0.012191652964221053,-0.0009919999999999998,0.004253896846610176,-0.011419999999999986,0.04889306188857474,-0.05917900000000001,0.0701857190103514,-0.0010440000000000033,0.003164928308824704,-0.02012999999999998,0.03335454477278921,-0.362991,0.06431715979425709,0.004668999999999993,0.005572566015759706,0.10704999999999998,0.04068575550484469,0.34766939999999996,0.025653114060480067,0.020359000000000002,0.004557523591820452,0.23400999999999994,0.052382875302907916,-0.10620299999999999,0.05317342844880326,0.006096000000000004,0.0028397300223788878,0.07006000000000001,0.0326397231912282,-0.068874,0.0622431472934973,0.008754999999999999,0.005388964516491086,0.047229999999999994,0.03727510532513624
20,12,2,6,6,120,30,2,4,0.038103,0.02607833317142796,0.0007989999999999942,0.002613445994008677,0.009179999999999966,0.030038306826450787,0.045922,0.03145287904151224,0.002576999999999996,0.002696367232036467,0.05761000000000005,0.024672831130618147,-0.075894,0.023687425107849946,-0.002155000000000004,0.0011487384966997493,-0.024760000000000004,0.013202565517731772,0.050863,0.03066432431996505,0.0069200000000000095,0.0011079923359391976,0.07952999999999999,0.012735026040413109,0.013447,0.029510187867921138,0.004166000000000003,0.002452700697700394,0.019889999999999963,0.021047892926371513,0.076861,0.02449755471960416,0.0034219999999999945,0.0013303651292032575,0.03934000000000004,0.0152911727803985
20,12,2,6,6,120,330,2,5,0.104752,0.044566097103179235,0.0007179999999999964,0.001728030666510291,0.00824999999999998,0.019861845864873686,0.12602999999999998,0.044542406277613696,-0.0015929999999999972,0.0019889643988769633,-0.018299999999999983,0.022861381694901994,0.022319999999999993,0.04294421502367927,0.0023109999999999936,0.0014534129746565498,0.026569999999999983,0.01670462214478376,0.044886999999999996,0.058765882559525986,0.004139000000000004,0.001903366556919607,0.04756000000000005,0.02187597632106965,-0.26293649999999996,0.03205610544030575,0.005940000000000001,0.0018118938655451097,0.06826999999999994,0.020825176421821738,-0.175784,0.03627521110896531,-0.002042000000000002,0.0013626597803560506,-0.02346999999999999,0.01566236766903395
