% TEGDMA,v (mm/s),type,edge length (mm),sides,corner angle (°),phi (°),Prism,Edge ,vx nozzle (mm/s),ster nozzle (mm/s),vx ahead (mm/s),ster ahead (mm/s),vx just behind (mm/s),ster just behind (mm/s),vx behind left (mm/s),ster behind left (mm/s),vx behind 0 (mm/s),ster behind 0 (mm/s),vx behind 1 (mm/s),ster behind 1 (mm/s),vx behind 2 (mm/s),ster behind 2 (mm/s),vx left (mm/s),ster left (mm/s),vx right 1 (mm/s),ster right 1 (mm/s),vx right 2 (mm/s),ster right 2 (mm/s),pos (mm) init,ster pos (mm) init,width (mm) init,ster width (mm) init,width (normalized) init,ster width (normalized) init,pos (mm) Δrelax NN,ster pos (mm) Δrelax NN,width (mm) Δrelax NN,ster width (mm) Δrelax NN,width (normalized) Δrelax NN,ster width (normalized) Δrelax NN,pos (mm) Δrelax 2nd NN,ster pos (mm) Δrelax 2nd NN,width (mm) Δrelax 2nd NN,ster width (mm) Δrelax 2nd NN,width (normalized) Δrelax 2nd NN,ster width (normalized) Δrelax 2nd NN,pos (mm) Δshear,ster pos (mm) Δshear,width (mm) Δshear,ster width (mm) Δshear,width (normalized) Δshear,ster width (normalized) Δshear
20,12,2,6,5,108,198,1,1,-0.010372999999999999,0.28297629954489006,0.08056200000000001,0.2811149635032844,0.08470996666666668,0.2268366736760727,0.028576666666666667,0.26199869221041233,0.035618000000000004,0.28802548613891465,-0.16146633333333335,0.2607156996674269,-0.19559666666666667,0.29190394615532944,0.24147233333333337,0.3095855661572833,-0.16439966666666667,0.16826314422693442,-0.13480733333333333,0.18301805782615266,0.015983,0.040672664944247205,0.07685966666666667,0.0021349781123030064,0.8833866666666667,0.024534784539384374,-0.0233241,0.057665610095982284,0.008847500000000001,0.0031187284816185795,0.10169499999999998,0.035840597476158795,-0.158124,0.026308233026944246,0.0006189999999999946,0.001342530763185708,0.00710999999999995,0.015428762361252442,0.018461666666666668,0.05938027927994491,-0.0031679999999999994,0.001970675483645818,-0.03641999999999997,0.022656454387046013
20,12,2,6,5,108,126,1,2,0.08096133333333333,0.3955955824354521,0.19375300000000004,0.457521851085965,0.11641666666666667,0.5106967852525761,-0.014727333333333328,0.3830916086372703,0.020120000000000016,0.43106884412582547,0.04434933333333333,0.2715990173790492,0.19906666666666664,0.41994033309818,-0.09337666666666666,0.41830245049755826,0.147476,0.3469166698528112,-0.07522033333333333,0.6190899501977092,-0.021596599999999997,0.025271243507835175,0.079412,0.0015371542352658,0.9127233333333334,0.01766720470877312,0.10263495,0.09434300148607705,0.0007509999999999947,0.006489807558478779,0.008629999999999971,0.07459571524143901,-0.069636,0.037158539745259095,0.0011039999999999939,0.0028522122571786276,0.012689999999999979,0.03278170373851853,-0.07452936666666667,0.0843027418810575,-0.0026276666666666623,0.0031900546876339657,-0.029906666666666637,0.03655976117560951
20,12,2,6,5,108,54,1,3,0.006969999999999994,0.49929324366189853,-0.028783333333333345,0.5335639766593535,-0.23254666666666668,0.5719863949507652,-0.11673433333333333,0.28121675411848734,-0.016416000000000004,0.3325017695869382,-0.04772386666666666,0.317694922196305,-0.10629333333333334,0.45052256770077204,-0.06695268,0.42793071285960976,-0.12412933333333333,0.4032147509439773,0.12452633333333334,0.3411561114696697,-0.051578566666666666,0.040523601965862265,0.08168733333333333,0.0020707722034280836,0.9388766666666667,0.023798089477877413,0.06450971999999999,0.04349863097727156,-0.0005905000000000007,0.001794818452651934,-0.0067949999999999955,0.020629684127521072,0.04741000000000001,0.029778485471897324,-0.008786000000000002,0.002058599594384493,-0.10101000000000004,0.023660379502662254,0.04567918666666667,0.11321165067856853,0.004060666666666666,0.004361568847335886,0.0466766666666667,0.05013436495173399
20,12,2,6,5,108,342,1,4,0.18616000000000002,0.18394192932408604,0.04725666666666667,0.3570325362785415,0.16351300000000002,0.28775348199651374,0.051629666666666664,0.16159925874449046,0.06072666666666667,0.1776038187830524,-0.012786333333333335,0.2398983713144936,-0.00963853333333333,0.3001746808163356,-0.06865633333333333,0.2964150742217778,0.12566133333333335,0.33699150920414545,0.08910033333333334,0.13693952361540157,-0.045174,0.027187757268419356,0.07667866666666667,0.00439416042529607,0.8813033333333333,0.05050652014462446,0.13858399999999998,0.06203137804564983,0.004568499999999996,0.008000850018921805,0.05251,0.09196371412291293,0.088945,0.035725867043362294,-0.0016170000000000073,0.001693113067695126,-0.01857999999999993,0.01946048008143684,-0.12265100000000001,0.05393257774128625,0.002353000000000008,0.0025365793666833098,0.027039999999999953,0.029156765074438373
20,12,2,6,5,108,270,1,5,0.32635,0.32746291135597,-0.1187866666666667,0.42746183683114747,-0.007275333333333342,0.3207070163747553,-0.028072999999999997,0.278727384742403,-0.042949999999999995,0.4874109153205365,-0.25088333333333335,0.341927729817125,-0.19767666666666664,0.3768758138233479,-0.18642233333333333,0.2970647168870635,-0.015712,0.26663837141442903,-0.18192560000000002,0.43258082888350124,0.21003533333333332,0.38646491765895563,0.05930266666666667,0.009186948993665914,0.7545800000000001,0.09240955960598046,-0.3417285,0.6997314466199743,0.031708,0.0030755625365619507,0.25496,0.10165398123601826,-0.51749,0.0171957385709367,0.030774000000000003,0.0014862043559349435,0.3537,0.017082037904184617,0.2593146666666667,0.1604584632000728,-0.011280000000000005,0.01135047065298673,-0.1286666666666667,0.1306182848413716
20,12,2,6,6,120,210,2,1,-0.011930666666666668,0.2771332997358446,0.09551333333333334,0.30999727149976153,0.10628666666666668,0.26409069103118,0.34611666666666663,0.2684580951739039,0.10830666666666666,0.24233906081442144,-0.135638,0.24408123030886977,0.01626933333333333,0.3067699324609434,0.24785733333333335,0.29370953567181224,-0.16360433333333332,0.2264003593758166,-0.29204,0.24602074613871872,0.09913833333333333,0.035016596052778015,0.07986733333333333,0.002176060208456234,0.9179566666666666,0.02501173244260566,-0.088813,0.04328863163174376,0.0029085000000000014,0.0015393025463553535,0.03748499999999999,0.01974657099206522,-0.22325,0.033933294697096536,-0.004458000000000004,0.0014705928982556662,-0.05123999999999995,0.01690016068681005,0.18463700000000002,0.05561897408828864,-0.002682333333333333,0.004067639172629,-0.018740000000000017,0.05148000065910724
20,12,2,6,6,120,150,2,2,-0.35716666666666663,0.38945961241030114,0.20859999999999998,0.30755914827958686,0.15758633333333336,0.3050580516297281,0.027469000000000004,0.42738835533563524,0.10197,0.4267192649988103,0.21690733333333334,0.2921812454394282,0.10649400000000002,0.2880580127408907,0.21249666666666667,0.3433146815510567,0.2936,0.25590809973906653,-0.0018399999999999996,0.32039663661275786,0.07998333333333334,0.0351441086181982,0.076612,0.0018153758493559325,0.8805366666666666,0.02086664166258495,0.040739,0.1301099777477283,-0.0006554999999999964,0.00622798240796728,-0.007529999999999981,0.07158682918084945,-0.095741,0.04223639905342311,0.00016700000000000048,0.0015379519082533107,0.0019299999999999873,0.017676713297443053,0.015352666666666669,0.06919855792533874,-0.0037913333333333362,0.002982402107959553,-0.04358000000000003,0.034284693549009884
20,12,2,6,6,120,90,2,3,-0.14902666666666667,0.14975404976782106,0.051526333333333334,0.16884455214253472,0.015732466666666667,0.24918265286096933,0.057763,0.1844854689221412,-0.13116866666666666,0.1731346412357249,-0.12073583333333333,0.38337798913073295,0.8734215,1.0836484999999998,-0.025990999999999997,0.12855744940915495,-0.048433333333333335,0.2975916218048614,-0.148616,0.5405706092568175,0.010878666666666667,0.09742768265049521,0.068701,0.010907602016762644,0.7923233333333334,0.12583467885852173,-0.05230220000000001,0.04249516448729786,-0.0010180000000000015,0.0026770568449959744,-0.015774999999999983,0.033948314945439956,-0.362991,0.06431715979425709,0.004668999999999993,0.005572566015759706,0.10704999999999998,0.04068575550484469,0.05753079999999999,0.174065217318711,0.011736666666666668,0.006914843053943106,0.11709999999999998,0.08285946475470812
20,12,2,6,6,120,30,2,4,-0.2964233333333333,0.41368378180074916,0.08931,0.45914025691033156,-0.006115833333333334,0.31607406436239416,0.12634559999999997,0.3054820944495287,0.068091,0.27359479285912225,0.07993866666666667,0.30753135973194096,0.151625,0.31879525002796044,0.023038999999999994,0.5110406157167121,0.07512033333333334,0.3835645465500701,-0.054136000000000004,0.4168904179680679,-0.05398606666666666,0.03185334602450097,0.07697433333333333,0.002762606729346329,0.8847033333333334,0.031751830849658665,0.042012499999999994,0.02433841982582535,0.001687999999999995,0.002766531372148014,0.03339500000000001,0.04365110347394769,-0.075894,0.023687425107849946,-0.002155000000000004,0.0011487384966997493,-0.024760000000000004,0.013202565517731772,0.047056999999999995,0.03477296142708703,0.004836000000000003,0.0020646404769166958,0.046253333333333334,0.027215413432091242
20,12,2,6,6,120,330,2,5,0.09931533333333335,0.2530997155806224,-0.0022606666666666656,0.3521423216722447,0.11727333333333334,0.4135543471908079,0.04743466666666666,0.46648950988498994,0.021714666666666663,0.22482748141308406,0.08421666666666668,0.18728976161585703,-0.0007363333333333296,0.30563891270297766,0.138539,0.28069784176101,0.30749,0.29267704489847063,0.0031000000000000055,0.3450676497353209,0.025738333333333335,0.06799232059679604,0.07875166666666666,0.0025306370731055777,0.9051266666666667,0.02908275620063803,0.115391,0.04214361461441005,-0.0004375000000000004,0.0024728903525910576,-0.005025000000000002,0.028417124142272755,0.022319999999999993,0.04294421502367927,0.0023109999999999936,0.0014534129746565498,0.026569999999999983,0.01670462214478376,-0.13127783333333332,0.11698415158552941,0.002679000000000001,0.0034038000859370173,0.030786666666666667,0.03912024003005447
