split var,plot mode,support mode,y,ster
6,5,3,135,0.0030093351535652874,0.0005652059238702972
1,6,2,820,0.0015997324245958788,0.0007350177291147264
1,6,2,825,0.0013640899802746242,0.000676768725803417
1,6,2,830,0.0015138483310449535,0.000620362125230279
1,6,2,835,0.0023753740714707317,0.0007324341906676072
1,6,3,820,0.0017662899574303337,0.0004968890741051575
1,6,3,825,0.0015832861502347306,0.0004719586042261667
1,6,3,830,0.0027514247386998536,0.00069442170740182
1,6,3,835,0.0018905622886554452,0.0006439314965869417
2,6,2,3,0.002214707859332213,0.0007456502014066646
2,6,2,6,0.001623942220139854,0.0006292766898121547
2,6,2,9,0.0025057923230982354,0.0006674513608063918
2,6,2,12,0.0005418599092405912,0.000737210427913364
2,6,3,3,0.003064851676614591,0.0006274583850388816
2,6,3,6,0.0020299894909828753,0.0005993957267896926
2,6,3,9,0.0018487235601026275,0.0006379045634876384
2,6,3,12,0.0011899037480986169,0.000646035196742165
6,6,2,60,0.002716411020249221,0.0010451121732953212
6,6,2,90,0.00484766378012047,0.000920754530817436
6,6,2,108,0.0007132508196721066,0.0007759195651877338
6,6,2,120,0.0007239878887997098,0.000731974613571209
6,6,2,135,0.001135658336552714,0.0006091866495694408
6,6,3,60,0.0021775881928796925,0.0007451017901823882
6,6,3,90,0.0013001205809534816,0.0007531121219525446
6,6,3,108,0.002422575686721065,0.0007546662401278072
6,6,3,120,0.0019305079058900276,0.000594403057137804
6,6,3,135,0.002053873777569701,0.0006441753358448897
