xvar,mode,subvar,subset,x0,y0,motor c,disturbed zone amp,disturbed zone effect,disturbed zone error,disturbed zone vi,solid rotation amp,solid rotation effect,solid rotation error,solid rotation vi,fluid reshaping amp,fluid reshaping effect,fluid reshaping error,fluid reshaping vi,best fit,rot amp,best effect,best error,best vi,best effect-vi
11,2,0,0,-0.17718572450911094,0.07939231398994875,-0.03463596478687127,0.005705041455915908,0.07773379756636342,0.004652493826062784,-0.0008894730133918493,0.012475881079900775,0.07853093834502306,0.004555740775782045,0.0016063320684426244,0.005674454772388002,0.07797093283226113,0.004614211241159553,-0.0009193467899484422,2,0.012475881079900775,0.07853093834502306,0.004555740775782045,0.0016063320684426244,0.07692460627658043
13,2,0,0,0.008803261363692782,-0.05838338699541735,-0.06547849154666668,0.038404151721081026,0.1271115808685465,0.0026674330806859495,-0.005987591294833742,0.07074345030084705,0.1315975436111459,0.003333621220292524,0.009108572943485563,0.03880488901712087,0.1287366769333664,0.0022580865810620677,-0.006286974094108838,3,0.03880488901712087,0.1287366769333664,0.0022580865810620677,-0.006286974094108838,0.13502365102747524
15,2,0,0,0.05793271884085452,-0.013718016416889151,-0.05847951409574468,0.004470605882641679,0.016598453563080012,0.0033241398284901383,-0.0006970121631626642,0.008300078519990104,0.017124974384232255,0.003245836956636513,0.0010686766098413258,0.004514282981295181,0.016787489007250578,0.0032967886682577284,-0.0007313815572145387,2,0.008300078519990104,0.017124974384232255,0.003245836956636513,0.0010686766098413258,0.01605629777439093
17,2,0,0,-0.0390225556311282,-0.10820586349185232,0.0009854441512239798,0.1931748701142212,0.10225950500072627,0.009694124818596613,-0.01961690806009916,0.09347691439234912,0.12008505134700695,0.008018595598595052,0.012035620112586912,0.5988569450762034,0.1316708908598494,0.013963610464090491,0.43806385532324277,2,0.09347691439234912,0.12008505134700695,0.008018595598595052,0.012035620112586912,0.10804943123442004
19,2,0,0,-0.009023401031776726,0.017554044608438665,-0.015790820066489363,0.011730632015545028,0.06716607454241105,0.003467172609817881,-0.0018289228375436254,0.02211786519575354,0.06857016544790243,0.0031573511433354347,0.002847785733279247,0.011829709817684358,0.06766135646775966,0.0033217748547612388,-0.0019165904361121314,2,0.02211786519575354,0.06857016544790243,0.0031573511433354347,0.002847785733279247,0.06572237971462318
21,2,0,0,0.003691762547761837,0.02399569316576594,-0.015351183981505642,0.012592162245323049,0.005444689511567132,0.0036818356732440396,-0.0012787340760125555,0.006519960407814673,0.006635013813946148,0.0034231906186635084,0.0008394775023081783,-0.04464028321589909,0.007528434374355059,0.0028372536313777063,0.03265436717243019,3,-0.04464028321589909,0.007528434374355059,0.0028372536313777063,0.03265436717243019,-0.025125932798075134
23,2,0,0,-0.007587712134976649,0.01721785357550047,-0.019914189375422706,0.024991351692927224,0.020483558698036055,0.004533919353303855,-0.0025378717644167596,0.011847172752695416,0.022773320319849057,0.004231767549976488,0.0015253827277732985,-0.07424289191508694,0.02419248775983374,0.003674042048854443,0.0543086754358861,3,-0.07424289191508694,0.02419248775983374,0.003674042048854443,0.0543086754358861,-0.03011618767605236
25,2,0,0,0.00442562182048016,-0.15295016268868858,-0.05700964722695188,0.1324367514947655,0.00028583346753484546,0.008548466459308807,-0.013448952114293436,0.0709162460115963,0.012960711121155105,0.008543511920045002,0.009130821255223081,0.5002763828542591,0.023116175679364546,0.01294677991495595,0.36595217405789054,2,0.0709162460115963,0.012960711121155105,0.008543511920045002,0.009130821255223081,0.0038298898659320235
27,2,0,0,-0.027595733235239985,0.02665730599532845,-0.1092573855897163,-0.004511350827418086,0.0777970506543663,0.002980937294879307,0.00045812767652430664,-0.005658993963817669,0.07714969491173758,0.0031904242463211825,-0.000728623767811344,0.059639854175566887,0.07575321341277572,0.004217574784535083,-0.04362655332942718,1,-0.004511350827418086,0.0777970506543663,0.002980937294879307,0.00045812767652430664,0.07733892297784199
29,2,0,0,0.013997959713508435,0.015729736962603554,-0.06626451912438017,-0.05793594503010099,0.04386929015988548,0.005178431775424879,0.005883395217806755,-0.027501812458194393,0.03855859918259573,0.006169832627557863,-0.0035409958630548194,0.17260175581857,0.03525657094689668,0.00950090812974323,-0.12625818438128397,1,-0.05793594503010099,0.04386929015988548,0.005178431775424879,0.005883395217806755,0.03798589494207873
31,2,0,0,0.004842154664630186,-0.08439815520281496,-0.006331094833333337,0.013029775005523865,0.010927800910467416,0.003655389849515117,-0.0020314722211112256,0.021682207084444596,0.012295601799769067,0.003829437041035857,0.0027916925731576643,0.013272025038733069,0.011484208786723328,0.0037079550798778892,-0.002150267136650338,1,0.013029775005523865,0.010927800910467416,0.003655389849515117,-0.0020314722211112256,0.012959273131578642
37,2,0,0,0.01139210847484569,-0.07485214202215651,-0.0025580309875000012,0.011838995162603609,0.02658708630890387,0.004052747672335239,-0.0018458177358015287,0.019456440790261573,0.02781364876622611,0.004219947519378081,0.002505114033950129,0.012070297736208064,0.027093175730299218,0.004097522053695184,-0.0019555692877317493,1,0.011838995162603609,0.02658708630890387,0.004052747672335239,-0.0018458177358015287,0.0284329040447054
43,2,0,0,0.0035207544521611827,-0.07523399412699126,-0.007646781833333345,0.009562843152059908,0.031407145682456616,0.003674247321826282,-0.00149094287583766,0.015549713247113128,0.032386852244774174,0.0038055920823243505,0.002002103329132051,0.009757284415977596,0.03181629604164713,0.0037042397629760294,-0.00158082643465461,1,0.009562843152059908,0.031407145682456616,0.003674247321826282,-0.00149094287583766,0.03289808855829428
11,3,0,0,-0.19631287104316264,0.014107910684287026,-0.009046920053191498,-0.0005776151376187583,0.07762711852658334,0.005084952323096682,0.0000900559761061406,0.0009612564932571883,0.07769427657685,0.005051467779877068,0.0001237665797893293,-0.0006764411195122473,0.07759827192298442,0.005091044557259151,0.00010959360797777673,2,0.0009612564932571883,0.07769427657685,0.005051467779877068,0.0001237665797893293,0.07757050999706068
13,3,0,0,-0.028389208686124903,-0.05385749072828826,-0.009896146108652498,0.015568667597405647,0.1298740900671007,0.0036384862269984255,-0.0024273109651115144,0.0290725725518142,0.13171883780900243,0.0034973911663256775,0.0037432390789088376,0.015713075301485302,0.13053203155425921,0.0036279199810141808,-0.002545753894970141,2,0.0290725725518142,0.13171883780900243,0.0034973911663256775,0.0037432390789088376,0.1279755987300936
15,3,0,0,-0.0430007645522187,-0.04052648997473708,-0.04462050863031914,0.006221730203196602,-0.002049571621037709,0.002838114877364637,-0.0009700299559803822,0.01117698426666019,-0.001341689639976089,0.0027762438314684655,0.0014390926092538328,0.0062996620983471014,-0.0017856776819953296,0.0027778658912074147,-0.0010206397548637057,2,0.01117698426666019,-0.001341689639976089,0.0027762438314684655,0.0014390926092538328,-0.0027807822492299217
17,3,0,0,-0.00681697183882307,-0.27121879286002987,0.04372498293085106,0.18643606644888377,0.1667128002247477,0.010916144426112244,-0.018932582547884148,0.08789024520480546,0.18376190678126758,0.009737197589417166,0.011316308521344727,0.5474186873762902,0.1941902310717676,0.01422920899677155,0.40043676981575627,2,0.08789024520480546,0.18376190678126758,0.009737197589417166,0.011316308521344727,0.17244559825992287
19,3,0,0,-0.04533338856366045,-0.012353258635759118,-0.029598343284574467,-0.003674941691480425,0.04514558680302822,0.003782561377730379,0.0005729601591187131,-0.005793221364683952,0.044781219071347286,0.00394187458857482,-0.0007459062168098823,-0.0037580236437473992,0.0449879560853055,0.003816777885646123,0.0006088562006417348,1,-0.003674941691480425,0.04514558680302822,0.003782561377730379,0.0005729601591187131,0.044572626643909506
21,3,0,0,-0.039545155738888935,0.035109881438585185,-0.0397017491356383,-0.09559271136110656,-0.04265537350908137,0.004697314356618279,0.009707439838720371,-0.04707879306201666,-0.051530977694667295,0.006041078622386933,-0.006061630000699956,0.3071369537972167,-0.057530391061922814,0.011593554516469632,-0.22467068170266405,1,-0.09559271136110656,-0.04265537350908137,0.004697314356618279,0.009707439838720371,-0.05236281334780174
23,3,0,0,-0.034038361321205225,0.026407930539172734,-0.05574601540220539,-0.19608557311989339,-0.06204610234127164,0.007466762540874945,0.019912489950325175,-0.09261668092665683,-0.07998942688864723,0.00700827006770467,-0.011924860752711701,0.5780823389198966,-0.09101497154538071,0.01719486661748489,-0.42286723091990436,2,-0.09261668092665683,-0.07998942688864723,0.00700827006770467,-0.011924860752711701,-0.06806456613593553
25,3,0,0,-0.05983943235784783,-0.004034541756063747,-0.05873726236702128,-0.06926738992252678,0.07541692948981413,0.003913002659757984,0.0070341034466325945,-0.04005670896259481,0.06859052589664556,0.0058595230006818835,-0.005157501562478895,-0.30061108672553993,0.06231828921101276,0.01125380175688277,-0.21989700993973246,1,-0.06926738992252678,0.07541692948981413,0.003913002659757984,0.0070341034466325945,0.06838282604318154
